# Parse errors, both directions, against build/bin/rexxc.
#
# One row per program. `expect` is `ok` when rexxc answers rc 0, meaning the
# program TRANSLATES, and `major.sub` otherwise; `line` is the line the
# oracle's MAIN message names, or `-` for an accepted program. `program` is the
# program's bytes, with `\\`, `\t`, `\n`, `\r` and `\xNN` the only escapes.
#
# How it was generated: the `ok`/`err` helpers of src/instruction/tests.rs,
# src/directive/tests.rs and src/block/tests.rs were temporarily instrumented to
# dump every program they parse; `cargo test -p rexx-parse --lib` collected
# them; the tables in tests/scanner.rs and src/expr/tests.rs were transcribed by
# hand, the latter as the program `r = <expr>` it was measured as; then
# build/bin/rexxc was run on each and its answer recorded. The instrumentation
# was reverted and the tree verified clean.
#
# The last seven rows were added afterwards, and separately, because mutation
# testing found two error paths that no row reached: 99.916 raised on a clause
# that is not a directive at all (five rows, one per directive kind that cannot
# carry a body), and 20.923 raised for a namespace-qualified symbol with no name
# after the colon (two rows, one per arm of the check). Each was measured with
# rexxc the same way as the rest.
#
# Nothing here is our parser's own answer. A row records only what the oracle
# said, so a divergence shows up as a test failure rather than as an expected
# value.
expect	line	program
25.1	1	call on nostring
ok	-	trace i\nx = 1 + 1\ny = x * 3\nif y > 5 then say "big"\ntrace off\nsay "done" y\n
20.918	1	do label\nend
ok	-	parse arg >2 a
ok	-	procedure expose a
ok	-	::method m delegate p attribute\n
ok	-	do label a.\nnop\nend a.
99.913	6	::method m\nexpose a.\ndo a.1 = 1 to 2\nnop\nend\nguard on when a.1\n
25.904	1	::requires x namespace a namespace b\n
25.933	1	address system with input
99.925	1	::attribute 3\n  return 1\n
ok	-	use arg , b
99.913	4	::method m\nexpose a.\nparse var a.1 x\nguard on when a.1\n
ok	-	top:\nnop\n::routine r\ntop:\nnop\n
ok	-	::options error condition\n
ok	-	nop;
ok	-	::method m\n  return 1\n
25.923	1	select "x"\nend
ok	-	use arg a.b
35.930	1	use arg a =
46.902	1	use arg a b
25.904	1	::requires x METACLASS\n
ok	-	do\nif 1 = 1\nthen nop\nend\n
ok	-	address system with output replace stream "f"
25.901	1	::class c mixinclass object subclass object\n
ok	-	::class m mixinclass object\n::class c inherit m\n
27.904	1	do with index i x\nend
25.904	1	::requires x EXTERNAL\n
27.902	1	do i = 1 by 2 by 3\nend
ok	-	::attribute "a.e+5"\n
ok	-	guard off
35.914	1	address value with input normal
18.2	7	nop\n\nselect\n\nwhen 1 = 1\n\n::routine r\nnop\n
ok	-	use arg a
31.2	1	use arg 1
25.924	1	::options junk\n
26.5	1	::options digits 1234567890123456789\n
ok	-	a.b = 2
35.931	1	parse arg +()
7.2	5	nop\n\nselect case 1\n\nnop\n\nend\n
ok	-	address "sys" "cmd"
ok	-	signal on syntax name oops\nsay 1/0\noops:\nsay "trapped" rc condition("C")\n
ok	-	say(1)
ok	-	trace '999999999.4'
24.1	1	trace '999999999.6'
99.925	1	::attribute 3 abstract\n
25.905	1	use foo
20.915	1	call on user
35.914	1	address value
19.3	1	call on error name
ok	-	/* Keywords are not reserved words. Every instruction keyword is also a legal\n   variable name, so a symbol is a keyword only by *position* -- first token of\n   a clause that is not an assignment. A scanner that classifies keywords\n   lexically cannot produce this program's output. */\n\n/* Each of these is an assignment, because the second token is `=`. */\nif = 2\ndo = 3\nsay = 4\nend = 5\nparse = 6\nthen = 7\ncall = 8\nselect = 9\nwhen = 10\notherwise = 11\nreturn = 12\nexit = 13\nsignal = 14\ntrace = 15\nnumeric = 16\n\nsay if do say end parse then\nsay call select when otherwise\nsay return exit signal trace numeric\n\n/* The same spelling as keyword and as variable in one clause. */\nif if = 2 then say "if-as-keyword saw if-as-variable =" if\n                 else say "wrong branch"\n\n/* DO still loops while `do` holds a value. */\ndo i = 1 to 2\n  say "iteration" i "and do =" do\nend\n\n/* SELECT/WHEN/OTHERWISE while all three are variables. */\nselect\n  when when = 10 then say "when-as-keyword saw when =" when\n  otherwise say "otherwise"\nend\n\n/* A stem whose name is a keyword. */\nend. = 0\nend.1 = 7\nsay "end.1 =" end.1\n\n/* Keyword as a compound tail, and as a function-call target spelling. */\nstem. = 0\nstem.if = 99\nsay "stem.if =" stem.if\n\n/* PARSE using a variable named parse. */\nparse value "a b" with first second\nsay "parsed" first second "while parse =" parse\n\n/* A label may also spell a keyword. */\ncall trace_label\nexit 0\n\ntrace_label:\n  say "called a label named trace_label; trace =" trace\n  return\n
ok	-	::resource a\nfirst\n::END\n::resource b\nsecond\n::END\n
19.925	1	::annotate class\n
25.904	1	::requires x library namespace ns\n
ok	-	use local a\n\nnop\n
ok	-	address system with output append stream "f"
25.926	1	::resource d "end" x\nbody\n::END\n
20.905	1	numeric
ok	-	raise syntax 1
35.912	1	interpret
25.901	1	::class c abstract abstract\n
ok	-	::requires x\n
99.925	1	::attribute a delegate 5\n
25.916	1	forward foo
31.2	1	do 1 over x\nend
25.904	1	::requires x ERROR\n
ok	-	::method m\nexpose a.\nguard on when a.1\nsay a.1\n
ok	-	nop\nif 1 = 1 then say 1\nnop\n
ok	-	::method m\nexpose a.\nguard on when a.1 & a.1\n
25.904	1	::requires x METHOD\n
ok	-	do label a\nnop\nend\n
ok	-	::attribute a get\n
ok	-	parse lower caseless arg a
ok	-	do label a\nend a
19.4	1	signal
31.2	1	drop (1)
ok	-	drop a
31.3	1	drop .
20.906	1	drop (
31.2	1	drop 5
10.7	7	nop\n\nselect\n\nwhen 1 = 1 then nop\n\nend 1\n
35.935	1	address system with input stream
ok	-	do with index i item v over x for 2\nend
7.1	3	nop\n\nselect case 1\n\notherwise nop\n\nend\n
ok	-	drop (v)
ok	-	::options all condition\n
10.1	11	nop\n\ndo\n\nif 1 = 1 then nop\n\nelse\n\nend\n\nend\n
99.913	4	::method m\nexpose a.\nsay a.1\nguard on when a.1\n
ok	-	select label a\nwhen 1 = 1 then nop\notherwise nop\nend\n
14.2	5	nop\n\nselect case 1\n\nwhen 1 then nop\n
ok	-	leave
ok	-	::method m\nexpose a. b.\nsay a.1\nguard on when a.1 & b.1\n
25.904	1	::requires x FAILURE\n
18.2	3	select\nwhen 1 = 1\nlab: nop\nend
25.901	1	::class c public public\n
36.901	1	::constant c (1+2\n
25.912	1	guard on foo
25.904	1	::requires x CONSTANT\n
ok	-	do label a.1\nnop\nend a.1
31.3	1	do with index .a over x\nend
25.904	1	::requires x GUARDED\n
25.901	1	::class c NAMESPACE\n
ok	-	do\ndo\nnop\nend\nend\n
10.2	7	nop\n\ndo i = 1 to 3\n\nnop\n\nend j\n
ok	-	nop\n\ndo i = 1 to 3\n\nnop\n\nend i\n
ok	-	do i = 1 for 4 to 3 by 2\nend
8.2	7	nop\n\nif 1 = 1 then nop\n\nnop\n\nelse\n
25.932	1	address system with error normal error normal
ok	-	do with index i over x\nend
ok	-	::options digits 12 fuzz 3\n
ok	-	::method m abstract\n
ok	-	::class c;\n::class d   \n
10.7	7	nop\n\nselect case 1\n\nwhen 1 then nop\n\nend 1\n
18.2	5	select\nwhen 1 = 1\n\n\nnop\nend\n
ok	-	nop\n\ndo label a\n\nnop\n\nend a\n
19.917	1	::options digits -1\n
ok	-	::method m unguarded\n  return 1\n
10.2	7	nop\n\ndo label a\n\nnop\n\nend b\n
27.905	1	do counter c\nend
38.2	1	parse arg +x a
ok	-	::options failure syntax\n
ok	-	use arg a = 1
ok	-	::method m\nexpose a.\nsignal on syntax name a.1\nguard on when a.1\n
ok	-	::resource d end stop\nline\nSTOP\n
ok	-	::method m\nexpose a\nguard on when a & b\n
7.1	3	nop\n\nselect\n\nend\n
20.935	1	::options numeric\n
24.1	1	trace '+ - 9'
ok	-	::method m attribute\n
ok	-	parse arg . a
99.925	1	::method m delegate .p\n
25.925	1	::attribute a get get\n
ok	-	call on error\nerror: return
ok	-	trace '+ 9'
ok	-	here: ; nop
ok	-	nop\ndo\nnop\nend\nnop\n
ok	-	do with index i over x to 2\nend
ok	-	::constant c -.5\n
ok	-	parse version a
ok	-	select\nwhen 1 = 1 then say 1\nwhen 2 = 2 then say 2\nend\nnop\n
ok	-	::class c abstract\n
18.1	5	nop\n\nif 1 = 1\n\n::routine r\nnop\n
ok	-	::options notready condition\n
25.901	1	::routine r external "LIBRARY x" external "LIBRARY y"\n
ok	-	use arg
25.934	1	address system with foo
ok	-	select case 1\nwhen 1 then nop\nend
38.3	1	parse value "x" a
ok	-	::method m\nguard off\n
ok	-	parse arg 1 a
19.905	1	::routine r external nostring\n
ok	-	::method m\nexpose a.\nselect label a.1\nwhen 1 = 1 then nop\nend a.1\nguard on when a.1\n
20.934	1	do counter "x" 3\nend
99.907	3	::method m\nlab:\nexpose a\n
ok	-	::method m\nuse local a\nnop\n
19.906	1	::class c metaclass\n
19.905	1	::method m external nostring\n
ok	-	::class c subclass object\n
25.919	1	forward continue continue
25.902	1	::method m subclass object\n
35.1	3	select\nwhen 1 = 1\nthen: nop\nend
20.902	1	procedure expose
99.917	1	::method m external "junk"\n  return 1\n
35.933	1	select case\nend
25.901	1	::class c metaclass class metaclass class\n
99.925	1	::method .a attribute\n
ok	-	trace 1e8
24.1	1	trace 1e9
ok	-	trace 1e2
14.5	5	nop\n\ndo i over x\n\nnop\n
24.1	1	trace 1.5
26.5	1	::options digits "1e-2"\n
ok	-	if 1 = 1 then say 1\n
99.913	4	::method m\nexpose a.\ndrop a.1\nguard on when a.1\n
ok	-	a b c
99.917	1	::attribute a get external "junk"\n
14.901	7	nop\n\nselect\n\nwhen 1 = 1 then nop\n\notherwise\n
ok	-	parse arg =5 a
ok	-	::resource d\nfirst\nsecond\n::END\n
ok	-	address (e)
ok	-	::class c subclass rexx:object\n
19.908	1	::class c inherit\n
ok	-	interpret "nop"
9.1	9	nop\n\nselect\n\nwhen 1 = 1 then\n\ndo\n\nwhen 2 = 2 then nop\n\nend\n\nend\n
ok	-	select\nwhen 1 = 1 then nop\nend\n
14.5	5	nop\n\ndo 3\n\nnop\n
ok	-	push
ok	-	::class c\n
ok	-	stem.if = 99
ok	-	::attribute a delegate p.\n
25.911	1	raise error 1 return 2 exit 3
ok	-	do while 1\nend
25.904	1	::requires x PROLOG\n
ok	-	::constant c "x"\n
ok	-	do label a\nleave a\nend a
20.914	1	raise
25.15	1	numeric foo
25.904	1	::requires x library library\n
31.2	1	use local 1
ok	-	use local a
ok	-	address system with input normal
ok	-	forward to 1
35.925	1	forward to
46.1	1	drop (v x
ok	-	::attribute "aB"\n
25.906	1	raise foo
ok	-	select case 2\nwhen 1 then nop\nend
10.4	9	nop\n\nselect label a\n\nwhen 1 = 1 then nop\n\notherwise nop\n\nend b\n
ok	-	nop\n\nselect label a\n\nwhen 1 = 1 then nop\n\notherwise nop\n\nend a\n
99.925	1	::attribute "a-b"\n
19.918	1	::options fuzz -1\n
ok	-	if: nop
99.913	3	::method m\nuse local a\nguard on when self\n
ok	-	address system with output stream "f"
ok	-	parse arg a +3
ok	-	::method .a\n  return 1\n
20.918	1	select label\nend
ok	-	::constant c\n
ok	-	::constant c abc\n
26.6	1	::options fuzz "-1"\n
19.916	1	::constant c -1e\n
ok	-	::method m\nexpose a\nnop\n
ok	-	parse arg a b +3 c
99.925	1	::attribute "a b"\n
9.1	9	nop\n\nselect\n\nwhen 1 = 1 then nop\n\notherwise nop\n\nwhen 2 = 2 then nop\n\nend\n
ok	-	do i = 1 to 3 by 2\nend
99.935	2	::attribute a set external "LIBRARY x"\n  return 1\n
21.906	1	trace r x
35.1	1	raise syntax
25.925	1	::attribute a inherit x\n
25.903	1	::routine r package\n
35.934	2	select case 1\nwhen 1 = 1, then nop\nend
25.904	1	::requires x SUBCLASS\n
ok	-	parse upper arg a
ok	-	::resource d\nbody\n::END\n::method m\n  return 1\n
ok	-	trace +5
26.7	1	trace -a
ok	-	trace -5
ok	-	::method m package\n  return 1\n
ok	-	trace ''
ok	-	trace ?r
9.1	5	nop\n\ndo\n\nwhen 1 = 1 then nop\n\nend\n
ok	-	::class d\n::constant c (1+2)\n
20.935	1	::options numeric "inherit"\n
25.902	1	::method m guarded unguarded\n
99.925	1	::attribute 3 external "LIBRARY x"\n
ok	-	::options digits 12\n
ok	-	if 1 then nop\nelse say 2
20.915	1	call on user "x"
25.901	1	::class c guarded\n
ok	-	::method "abc"\n  return 1\n
ok	-	call (e) 1
99.940	2	::attribute a get abstract\n  return 1\n
99.934	2	::method m attribute\n  return 1\n
25.913	1	guard foo
ok	-	do label a.\nnop\nend a.\n
ok	-	then = 7
ok	-	::routine r private\n  return 1\n
ok	-	::class c\n::method m class\n  return 1\n
25.913	1	guard 1
ok	-	::constant c -1e2\n
18.2	3	select\nwhen 1 = 1\nnop\nend\n
14.3	3	nop\n\nif 1 = 1 then\n\n::routine r\n
99.913	3	::method m\nexpose a\nguard on when a.1\n
14.5	5	nop\n\ndo while 1\n\nnop\n
25.904	1	::requires x SET\n
38.2	1	parse arg +a. a
ok	-	::options fuzz 3\n
ok	-	::options fuzz 0\n
90.999	1	::routine r external "REGISTERED x y"\n
35.929	1	if then nop
ok	-	say
ok	-	say 1 2
ok	-	1 + 2
99.950	1	use arg >a = 1
99.939	2	::routine r external "LIBRARY x"\n  return 1\n
ok	-	reply 1
ok	-	::method m\nexpose a.\nsay a.\nguard on when a.1\n
99.913	4	::method m\nexpose a.\na.1\nguard on when a.1\n
18.1	3	nop\nif 1 = 1\nnop\n
14.5	5	nop\n\nloop\n\nnop\n
ok	-	numeric form
25.901	1	::class c public private\n
99.917	1	::routine r external "junk"\n  return 1\n
ok	-	s = "Hello World"\nsay length(s)\nsay substr(s, 7, 5)\nsay pos("World", s)\nsay translate(s)\nsay reverse(s)\nsay word(s, 2) words(s)\nsay left(s, 5)"|"right(s, 5)\nsay strip("  pad  ")"|"\nsay changestr("o", s, "0")\nsay copies("ab", 3)\nsay center("x", 7, "-")\nsay abbrev("Hello", "Hel")\nsay compare("abc", "abd")\nsay verify("abc", "abc")\nsay delstr(s, 6, 6)\nsay countstr("l", s)\nsay c2x("AB")\nsay x2c("4142")\nsay d2x(255)\nsay x2d("FF")\n
18.1	2	nop\nif 1 = 1,\n   1 = 1\n
ok	-	address value 1 with input normal
98.903	1	::routine r external "LIBRARY x"\n
ok	-	::options noprolog\n
ok	-	::class d\n::constant c (1,2)\n
99.925	1	::attribute 3 get\n
25.918	1	forward arguments (1) array (2)
99.913	2	::method m\nguard on when a\n
25.902	1	::method m delegate p delegate q\n
ok	-	::method m\nexpose a.\ndo label a.1\nleave a.1\nend a.1\nguard on when a.1\n
25.933	1	address system with input foo
ok	-	raise novalue
25.1	1	call on propagate
99.913	4	::method m\nexpose i\nsay a.i\nguard on when a.i\n
ok	-	select\nwhen 1 = 1\nthen nop\nend\n
35.918	1	r =
ok	-	::class c\n::constant k 1\n::annotate constant k x 1\n
20.921	1	::class c subclass rexx:\n
21.906	1	trace 5 x
ok	-	nop\n\nif 1 = 1 then nop\n\nlab:\n\nnop\n
99.913	4	::method m\nexpose a.\nuse arg a.1\nguard on when a.1\n
ok	-	parse arg q~x
ok	-	::options novalue syntax\n
19.913	1	::class c mixinclass\n
14.1	3	nop\n\ndo\n\n::routine r\n
ok	-	::attribute a set\n
ok	-	::attribute "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"\n
ok	-	then: nop
47.2	5	nop\n\ndo\n\nlab:\n\nnop\n\nend\n
ok	-	::options lostdigits condition\n
ok	-	select\nwhen 1 = 1 then\nselect\nwhen 2 = 2 then nop\nend\nend\n
ok	-	::options failure condition\n
ok	-	trace "?r"
25.904	1	::requires x END\n
ok	-	::annotate package a -1\n
25.902	1	::method m junk\n
ok	-	trace (e)
ok	-	do label 1\nnop\nend 1\n
10.1	5	nop\n\nif 1 = 1 then\n\nend\n
ok	-	signal lab\nlab: nop
25.902	1	::method m abstract external "LIBRARY x"\n
9.2	5	nop\n\ndo\n\notherwise nop\n\nend\n
ok	-	forward message "x" class .a arguments (1) continue
99.944	1	::requires "x" namespace rexx\n
25.927	1	::options failure error\n
25.924	1	::options "digits" 9\n
25.904	1	::requires x junk\n
25.902	1	::method m external "LIBRARY x" abstract\n
ok	-	do v = 1 to 4\n  select\n    when v = 1 then say "one"\n    when v = 2 then say "two"\n    when v > 3 then say "big"\n    otherwise say "other"\n  end\nend\nselect case 2\n  when 1 then say "c1"\n  when 2 then say "c2"\n  otherwise say "cn"\nend\n
25.927	1	::options all error\n
25.1	1	call on syntax
10.1	3	nop\n\nend\n
ok	-	::method m\nexpose a.\nguard on when a.1\n
99.913	3	::method m\nexpose (a)\nguard on when a\n
ok	-	call f
ok	-	call 1
19.921	1	::resource d end\nbody\n::END\n
99.937	2	::attribute a external "junk"\n  return 1\n
ok	-	::class c public\n
ok	-	::resource d end "%%"\nbody\n%%\n
35.929	1	if 1 = 1, then nop
ok	-	::attribute a.\n
19.917	1	::options digits\n
ok	-	::options digits 12 digits 5\n
25.904	1	::requires x LOSTDIGITS\n
ok	-	parse arg -2 a
ok	-	::method m abstract\n::method n\n  return 1\n
99.907	4	expose a\n::method m\nnop\nexpose b\n
ok	-	options "x"
19.916	1	::constant c -5x\n
ok	-	do with over x\nend
ok	-	address system with error using (x)
ok	-	if 1 = 1 then say 1\nelse say 2\nnop\n
ok	-	a ||= 'x'
ok	-	::class c mixinclass object\n
20.925	1	::options form\n
ok	-	address system
ok	-	use strict arg a, b = 2
25.928	1	::annotate public k 1\n
24.1	1	trace '9 5'
25.901	1	::class c private public\n
ok	-	::constant c 5\n
99.913	4	::method m\nexpose a.\na.1 = 1\nguard on when a.1\n
8.2	7	nop\n\nselect\n\nwhen 1 = 1 then nop\n\nelse nop\n\nend\n
ok	-	address system with output normal error normal
25.923	1	select label a "x"\nend
ok	-	a. = 2
9.2	3	nop\n\notherwise nop\n
ok	-	q~~append(1)
ok	-	if 1 = 1 then do\nsay 1\nend\nnop\n
19.915	1	::constant\n
18.1	4	nop\nif 1 = 1,\n   1 = 1\nnop\n
14.901	7	nop\n\nselect\n\nwhen 1 = 1 then nop\n\notherwise nop\n
35.1	1	a == 1
ok	-	g = "global"\ncall show 1, 2\ncall exposed\nsay "after" g\ncall recurse 3\nexit 0\n\nshow: procedure\n  use arg a, b\n  say "show" a b arg()\n  return\n\nexposed: procedure expose g\n  say "exposed sees" g\n  g = "changed"\n  return\n\nrecurse: procedure\n  use arg n\n  if n = 0 then return 0\n  say "depth" n\n  return recurse(n - 1)\n
25.1	1	call on novalue
24.1	1	trace '99999999.6'
25.902	1	::method m attribute attribute\n
ok	-	::method m\nexpose a.\ndo label a.1\niterate a.1\nend a.1\nguard on when a.1\n
ok	-	::options form engineering\n
20.903	1	parse "x" a
ok	-	::resource d end stop\nbody\nSTOP\n
99.917	1	::method m external "junk"\n
20.931	1	use arg >a.b
20.916	1	::\n
ok	-	::method m unprotected\n  return 1\n
25.904	1	::requires x CLASS\n
19.919	1	::options trace\n
ok	-	call f 1, 2
21.905	1	signal 1+1
ok	-	::method m\nuse local b\nguard on when a\n
ok	-	interpret "x"
99.925	1	::attribute a get delegate 5\n
25.12	1	parse upper upper arg a
25.904	1	::requires x MIXINCLASS\n
20.907	1	leave "x"
24.1	1	::options trace zzz\n
27.902	1	do i over x for 1 for 2\nend
25.926	1	::resource d public x\nbody\n::END\n
35.934	2	select case 1\nwhen , 1 = 1 then nop\nend
ok	-	raise error 1 return
18.1	5	nop\nif 1 = 1\n\n\nnop\n
21.914	1	::resource d end "x" extra\nbody\nx\n
25.913	1	guard
ok	-	::options numeric noinherit\n
99.917	1	::method m external "libraryx x"\n
38.901	1	parse arg +
ok	-	parse arg a
ok	-	::method m\nexpose a\nsay a\nguard on when a\n
25.925	1	::attribute a abstract delegate p\n
99.917	1	::method m external "REGISTERED x"\n
25.923	1	select x\nwhen 1 then nop\nend
ok	-	::options lostdigits syntax\n
ok	-	if 1 then nop
25.912	1	guard on 1
ok	-	loop counter c\nend
ok	-	do label a counter c 3\nend a
ok	-	'abc'~length
25.901	1	::class c subclass object mixinclass object\n
ok	-	exit 1
25.901	1	::class c subclass object subclass object\n
20.911	1	call on
ok	-	call ~x
20.920	1	::requires "x" namespace "ns"\n
ok	-	raise propagate
ok	-	raise error 1 return 2
27.902	1	do with item v item w over x\nend
99.907	3	::method m\nnop\nexpose a\n
ok	-	do a. = 1 to 2\nend
47.4	5	nop\n\nselect\n\nlab:\n\nwhen 1 = 1 then nop\n\nend\n
19.2	1	call +1
19.2	1	call ,1
25.904	1	::requires x PRIVATE\n
20.915	1	raise user
25.931	1	address system with output normal output normal
ok	-	select\nwhen 1 then nop\nend
7.2	5	nop\n\nselect\n\nnop\n\nend\n
ok	-	call on error name lab\nlab: return
ok	-	::options form scientific\n
19.923	1	::annotate package a -abc\n
25.927	1	::options error error\n
ok	-	queue
27.1	1	do while 1 until 2\nend
ok	-	::method m\nexpose a.\nsay a.2\nguard on when a.1\n
ok	-	address system with input stem a.
19.916	1	::constant c -abc\n
ok	-	expose a b
35.934	2	select case 1\nwhen then nop\nend
ok	-	do label loop\nnop\nend loop
ok	-	parse arg (e) a
20.916	1	:: "x"\n
99.925	1	::method 3 attribute\n
ok	-	say~length
25.904	1	::requires x ABSTRACT\n
99.933	5	::method m abstract\n\n\n\n  return 1\n
25.934	1	address system with 1
ok	-	pull a
19.2	1	call
25.904	1	::requires x NOSTRING\n
99.946	2	::method m delegate p\n  return 1\n
99.917	1	::method m external "LIBRARY a b c"\n
ok	-	nop\n\nselect label a\n\nwhen 1 = 1 then nop\n\nend a\n
10.4	7	nop\n\nselect label a\n\nwhen 1 = 1 then nop\n\nend b\n
ok	-	'echo hi'
ok	-	::attribute a set\n  return 1\n
25.904	1	::requires x INHERIT\n
25.12	1	parse caseless caseless arg a
25.901	1	::class c, public\n
99.913	4	::method m\nexpose a.\ndrop (a.1)\nguard on when a.1\n
ok	-	do i = 1 to 2 over x\nend
25.904	1	::requires x ALL\n
14.1	5	nop\n\ndo label a\n\nnop\n
99.913	4	::method m\nuse local x\nsay a.1\nguard on when a.1\n
ok	-	trace '1.0000000001'
35.1	2	if 1 = 1\nthen: nop
ok	-	trace - 5
ok	-	forward array (1,2)
ok	-	::method m\nexpose a\nguard on when a\n
99.913	3	::method m\nexpose a\nguard on when b\n
27.1	1	do i = 1 to 3 while 1 until 2\nend
20.932	1	address system with input stem a
ok	-	trace -"5"
99.907	3	nop\n\nexpose a\n
ok	-	::routine "r"\n  return 1\n
19.903	1	::routine\n
99.944	1	::requires "x" namespace REXX\n
25.914	1	call on error label lab
ok	-	select\nwhen 1, 2 then nop\nend
ok	-	::method m\nexpose a.\nsay a.1\n::method n\nexpose a.\nguard on when a.1\n
ok	-	parse value "a b" with a b
ok	-	::attribute a\n::method m attribute\n
99.917	1	::method m external "LIBRARY"\n
38.1	1	parse arg *3
ok	-	parse arg +3
31.3	1	parse arg .a
ok	-	if = 2
